field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
7231,stock.move,never_product_template_attribute_value_ids,値を割当てない,product.template.attribute.value,template_attribute_value_stock_move_rel,move_id,template_attribute_value_id,base,SF
8655,stock.move,order_finished_lot_ids,完成ロット/シリアル番号,stock.lot,,,,base,SF
7255,stock.move,reference_ids,参照,stock.reference,stock_reference_move_rel,move_id,reference_id,base,SF
7268,stock.move,route_ids,移動先ルート,stock.route,stock_route_move,move_id,route_id,base,SF
7308,stock.move.line,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
7339,stock.move.line,consume_line_ids,消費ライン,stock.move.line,stock_move_line_consume_rel,consume_line_id,produce_line_id,base,SF
7340,stock.move.line,produce_line_ids,生産ライン,stock.move.line,stock_move_line_consume_rel,produce_line_id,consume_line_id,base,SF
8081,stock.orderpoint.snooze,orderpoint_ids,補充ルール,stock.warehouse.orderpoint,stock_orderpoint_snooze_stock_warehouse_orderpoint_rel,stock_orderpoint_snooze_id,stock_warehouse_orderpoint_id,base,SF
7866,stock.package,picking_ids,転送,stock.picking,,,,base,SF
8072,stock.package.destination,move_line_ids,移動明細,stock.move.line,Products,stock_package_destination_id,stock_move_line_id,base,SF
7818,stock.package.history,picking_ids,転送,stock.picking,stock_package_history_stock_picking_rel,stock_package_history_id,stock_picking_id,base,SF
7841,stock.package.type,route_ids,ルート,stock.route,stock_package_type_stock_route_rel,stock_package_type_id,stock_route_id,base,SF
7530,stock.picking,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
7573,stock.picking,package_history_ids,転送済梱包,stock.package.history,stock_package_history_stock_picking_rel,stock_picking_id,stock_package_history_id,base,SF
7550,stock.picking,reference_ids,参照,stock.reference,,,,base,SF
7508,stock.picking.type,favorite_user_ids,お気に入りユーザ,res.users,picking_type_favorite_user_rel,picking_type_id,user_id,base,SF
7121,stock.putaway.rule,package_type_ids,梱包タイプ,stock.package.type,stock_package_type_stock_putaway_rule_rel,stock_putaway_rule_id,stock_package_type_id,base,SF
8150,stock.put.in.pack,move_line_ids,移動明細,stock.move.line,stock_move_line_stock_put_in_pack_rel,stock_put_in_pack_id,stock_move_line_id,base,SF
8155,stock.put.in.pack,origin_package_ids,元梱包,stock.package,,,,base,SF
8151,stock.put.in.pack,package_ids,梱包,stock.package,stock_package_stock_put_in_pack_rel,stock_put_in_pack_id,stock_package_id,base,SF
8134,stock.quant.relocate,quant_ids,在庫数量,stock.quant,stock_quant_stock_quant_relocate_rel,stock_quant_relocate_id,stock_quant_id,base,SF
7639,stock.reference,move_ids,在庫移動,stock.move,stock_reference_move_rel,reference_id,move_id,base,SF
7640,stock.reference,picking_ids,転送,stock.picking,,,,base,SF
8686,stock.reference,production_ids,生産,mrp.production,stock_reference_production_rel,reference_id,production_id,base,SF
9322,stock.reference,purchase_ids,購買,purchase.order,stock_reference_purchase_rel,reference_id,purchase_id,base,SF
9016,stock.reference,sale_ids,販売,sale.order,stock_reference_sale_rel,reference_id,sale_id,base,SF
8815,stock.replenishment.info,bom_ids,部品表,mrp.bom,mrp_bom_stock_replenishment_info_rel,stock_replenishment_info_id,mrp_bom_id,base,SF
9336,stock.replenishment.info,supplierinfo_ids,仕入先情報,product.supplierinfo,product_supplierinfo_stock_replenishment_info_rel,stock_replenishment_info_id,product_supplierinfo_id,base,SF
7648,stock.replenish.mixin,allowed_route_ids,許可されたルート,stock.route,,,,base,SF
8092,stock.request.count,quant_ids,在庫数量,stock.quant,stock_quant_stock_request_count_rel,stock_request_count_id,stock_quant_id,base,SF
7215,stock.route,categ_ids,プロダクトカテゴリ,product.category,stock_route_categ,route_id,categ_id,base,SF
7214,stock.route,product_ids,プロダクト,product.template,stock_route_product,route_id,product_id,base,SF
7217,stock.route,warehouse_ids,倉庫,stock.warehouse,stock_route_warehouse,route_id,warehouse_id,base,SF
9018,stock.rules.report,so_route_ids,特定のルートを適用する,stock.route,stock_route_stock_rules_report_rel,stock_rules_report_id,stock_route_id,base,SF
8026,stock.rules.report,warehouse_ids,倉庫,stock.warehouse,stock_rules_report_stock_warehouse_rel,stock_rules_report_id,stock_warehouse_id,base,SF
7701,stock.scrap,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
7687,stock.scrap,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
7715,stock.scrap,scrap_reason_tag_ids,廃棄理由,stock.scrap.reason.tag,stock_scrap_stock_scrap_reason_tag_rel,stock_scrap_id,stock_scrap_reason_tag_id,base,SF
7676,stock.warehouse,resupply_wh_ids,補充元,stock.warehouse,stock_wh_resupply_table,supplied_wh_id,supplier_wh_id,base,SF
7658,stock.warehouse,route_ids,ルート,stock.route,stock_route_warehouse,warehouse_id,route_id,base,SF
7395,stock.warehouse.orderpoint,allowed_replenishment_uom_ids,許可された補充単位,uom.uom,,,,base,SF
7400,stock.warehouse.orderpoint,rule_ids,使用されるルール,stock.rule,,,,base,SF
8036,stock.warn.insufficient.qty,quant_ids,在庫数量,stock.quant,,,,base,SF
8043,stock.warn.insufficient.qty.scrap,quant_ids,在庫数量,stock.quant,,,,base,SF
8718,stock.warn.insufficient.qty.unbuild,quant_ids,在庫数量,stock.quant,,,,base,SF
7803,uom.uom,route_ids,ルート,stock.route,,,,base,SF
2088,utm.campaign,tag_ids,タグ,utm.tag,utm_tag_rel,tag_id,campaign_id,base,SF
6056,validate.account.move,move_ids,仕訳,account.move,account_move_validate_account_move_rel,validate_account_move_id,account_move_id,base,SF
1732,web_tour.tour,user_consumed_ids,ユーザ消費済,res.users,res_users_web_tour_tour_rel,web_tour_tour_id,res_users_id,base,SF
